Year,Rank,Title,Author,Review,Description,Price,Tags,Ratings,Genre,barcode,publisher,date
2017,94,남아 있는 나날(모던 클래식 34),가즈오 이시구로,246,,"11,700",인생 노벨문학상 사랑 집사 황혼 갑부 ,9,"['국내도서', '소설', '영미소설', '고전소설/문학선']",9788937490347,민음사,2014년 01월 28일 출간(1쇄 2010년 09월 17일)
2017,95,북유럽 신화,닐 게이먼,133,,"13,320",유럽신화 토르 오딘,8.7,"['국내도서', '역사/문화', '신화', '유럽신화']",9791158510688,나무의철학,2017년 06월 26일 출간
2017,96,고슴도치의 소원,톤 텔레헨,127,,"12,150",인간관계 청소년 소설 일본 문단 고독 어른을위한동화 혼자 ,8.7,"['국내도서', '소설', '그외유럽소설', '그외유럽소설']",9788950968984,아르테(arte),2017년 02월 10일 출간
2017,97,청춘의 독서,유시민,140,세상을 바꾼 위험하고 위대한 생각들,"13,320",공산당 선언 서평 전환 시대 솔제니친 맹자 보수주의자 ,9.4,"['국내도서', '인문', '독서/글쓰기', '독서', '독서일반']",9788901218151,웅진지식하우스,2017년 07월 07일 출간
2017,98,여덟 단어,박웅현,286,인생을 대하는 우리의 자세,"13,500",인생 국립중앙도서관 고전 자존 권위 人生 ,9.5,"['국내도서', '인문', '인문학일반', '인문교양']",9788956056531,북하우스,2013년 05월 20일 출간
2017,99,7년의 밤,정유정,328,정유정 장편소설,"13,050",스릴러소설 영화원작소설 서원 아들 복수 소설 세계 ,9.2,"['국내도서', '소설', '한국소설', '미스터리/스릴러소설']",9788956604992,은행나무,2016년 05월 30일 출간(1쇄 2011년 03월 23일)
2017,100,너라는 위로,김수민,31,,"11,700",위로 상처 감성에세이 불안 한마디 감수성 ,9.5,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788965704546,쌤앤파커스,2017년 04월 21일 출간
2017,101,나는 까칠하게 살기로 했다,양창순,37,상처받지 않고 사람을 움직이는 관계의 심리학,"13,500",인간관계 건강 관계 솔루션 보르헤스 호르헤 ,9.2,"['국내도서', '자기계발', '인간관계', '인간관계일반']",9791130610450,다산북스,2016년 11월 28일 출간
2017,102,미움받을 용기. 2,기시미 이치로,266,사랑과 진정한 자립에 대한 아들러의 가르침,"13,410",심리학 인생 인간관계 아들러 심리학 칸트 철학자 ,9.4,"['국내도서', '인문', '심리학', '교양심리']",9791186560129,인플루엔셜,2016년 05월 02일 출간
2017,103,원피스. 84: 루피 VS. 상디,오다 에이치로,104,,"4,500",정략결혼 군단 액션판타지만화 간부 해적 이대로 ,9.3,"['국내도서', '만화', 'SF/판타지']",9791133442188,대원씨아이,2017년 03월 31일 출간
2017,104,마켓 4.0(필립 코틀러의)(양장본 HardCover),필립 코틀러,48,4차 산업혁명이 뒤바꾼 시장을 선점하라,"14,400",마케팅 마케팅전략 디지털 시대 인간 중심 빅 데이터 분석 포지셔닝 ,8.8,"['국내도서', '경제/경영', '마케팅/광고/고객', '마케팅전략']",9791160501087,더퀘스트,2017년 02월 17일 출간
2017,105,세계미래보고서 2055,박영숙,39,,"14,400",경제전망 경제전략 미래예측,8.7,"['국내도서', '경제/경영', '경제일반', '경제전망']",9791186805497,비즈니스북스,2017년 01월 20일 출간
2017,106,프레임(양장본 HardCover),최인철,260,나를 바꾸는 심리학의 지혜,"14,400",세상 인생 서태지,9.4,"['국내도서', '자기계발', '성공/처세', '자기관리/처세']",9788950966447,21세기북스,2016년 08월 31일 출간(1쇄 2007년 06월 20일)
2017,107,총 균 쇠,재레드 다이아몬드,559,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,"25,200",퓰리처상 퓰리처 유라시아 문명사 동아시아 인류문명 ,9.1,"['국내도서', '역사/문화', '역사일반', '문명/문명사']",9788970127248,문학사상,2005년 12월 19일 출간
2017,108,나는 뻔뻔하게 살기로 했다,데이비드 시버리,52,더 이상 괜찮은 척하지 않겠다.,"12,420",심리학 인간관계 ,8.8,"['국내도서', '인문', '심리학', '교양심리']",9788970655635,홍익출판사,2017년 04월 05일 출간
2017,109,플랫폼 레볼루션,마셜 밴 앨스타인,76,4차 산업혁명 시대를 지배할 플랫폼 비즈니스의 모든 것,"19,800",비앤비 인터넷마케팅 우버 산업 혁명 기업 가치 비즈니스 ,9.6,"['국내도서', '경제/경영', '경제일반', '디지털경제']",9788960515987,부키,2017년 06월 09일 출간
